SEASON_ID,GAME_DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,MATCHUP,WL,VISITOR_TEAM,VISITOR_TEAM_ID,HOME_WIN,W_pct_home,FG_pct_home,FG3_pct_home,FT_pct_home,RPG_home,APG_home,TO_PG_home,SPG_home,BPG_home,PPG_home,W_pct_visitor,FG_pct_visitor,FG3_pct_visitor,FT_pct_visitor,RPG_visitor,APG_visitor,TO_PG_visitor,SPG_visitor,BPG_visitor,PPG_visitor
22021,2022-04-10,22101224,1610612750,MIN,MIN vs. CHI,L,CHI,1610612741,0,0.319,0.448,0.349,0.761,43.513888888888886,25.63888888888889,14.26388888888889,8.777777777777779,5.527777777777778,112.125,0.431,0.476,0.37,0.791,44.958333333333336,26.76388888888889,15.125,6.694444444444445,4.222222222222222,110.68055555555556
22021,2022-04-10,22101226,1610612752,NYK,NYK vs. TOR,W,TOR,1610612761,1,0.569,0.456,0.392,0.784,45.138888888888886,21.40277777777778,12.944444444444445,7.041666666666667,5.069444444444445,107.02777777777776,0.375,0.448,0.368,0.815,41.583333333333336,24.09722222222222,13.22222222222222,8.583333333333334,5.388888888888889,111.26388888888889
22021,2022-04-10,22101230,1610612757,POR,POR vs. UTA,L,UTA,1610612762,0,0.583,0.453,0.385,0.823,44.541666666666664,21.26388888888889,11.09722222222222,6.888888888888889,5.041666666666667,116.11111111111111,0.722,0.468,0.389,0.799,48.25,23.65277777777778,14.208333333333334,6.583333333333333,5.152777777777778,116.41666666666669
22021,2022-04-10,22101223,1610612763,MEM,MEM vs. BOS,L,BOS,1610612738,0,0.528,0.467,0.356,0.771,46.47222222222222,26.916666666666668,13.291666666666666,9.09722222222222,5.055555555555555,113.29166666666669,0.5,0.466,0.374,0.775,44.25,23.458333333333332,14.055555555555555,7.722222222222222,5.319444444444445,112.625
22021,2022-04-10,22101220,1610612743,DEN,DEN vs. LAL,L,LAL,1610612747,0,0.653,0.485,0.377,0.803,44.44444444444444,26.84722222222222,13.5,8.083333333333334,4.486111111111111,115.05555555555556,0.583,0.472,0.354,0.739,44.236111111111114,24.65277777777778,15.208333333333334,7.805555555555555,5.361111111111111,109.54166666666669
22021,2022-04-10,22101221,1610612745,HOU,HOU vs. ATL,L,ATL,1610612737,0,0.236,0.444,0.339,0.74,42.59722222222222,23.59722222222222,14.72222222222222,7.583333333333333,5.013888888888889,108.79166666666669,0.569,0.468,0.373,0.812,45.625,24.125,13.23611111111111,6.986111111111111,4.75,113.69444444444444
22021,2022-04-10,22101227,1610612753,ORL,ORL vs. MIA,W,MIA,1610612748,1,0.292,0.429,0.343,0.775,45.44444444444444,21.819444444444443,12.833333333333334,6.888888888888889,4.416666666666667,104.0,0.556,0.468,0.358,0.79,41.5,26.319444444444443,14.069444444444445,7.902777777777778,3.9722222222222223,108.06944444444444
22021,2022-04-10,22101218,1610612739,CLE,CLE vs. MIL,W,MIL,1610612749,1,0.306,0.45,0.336,0.743,42.75,23.833333333333332,15.47222222222222,7.763888888888889,4.513888888888889,103.83333333333331,0.639,0.487,0.389,0.76,48.125,25.47222222222222,13.819444444444445,8.125,4.638888888888889,120.125
22021,2022-04-10,22101216,1610612751,BKN,BKN vs. IND,W,IND,1610612754,1,0.667,0.494,0.392,0.804,44.43055555555556,26.791666666666668,13.541666666666666,6.722222222222222,5.263888888888889,118.56944444444444,0.472,0.474,0.364,0.792,42.666666666666664,27.40277777777778,13.541666666666666,8.48611111111111,6.388888888888889,115.30555555555556
22021,2022-04-10,22101219,1610612742,DAL,DAL vs. SAS,W,SAS,1610612759,1,0.583,0.47,0.362,0.778,43.333333333333336,22.875,12.069444444444445,6.25,4.319444444444445,112.44444444444444,0.458,0.462,0.35,0.792,43.861111111111114,24.430555555555557,11.40277777777778,7.013888888888889,5.083333333333333,111.08333333333331
22021,2022-04-10,22101225,1610612740,NOP,NOP vs. GSW,L,GSW,1610612744,0,0.431,0.477,0.348,0.729,47.40277777777778,26.0,14.61111111111111,7.569444444444445,4.375,114.59722222222224,0.542,0.468,0.376,0.785,43.02777777777778,27.65277777777778,15.0,8.152777777777779,4.75,113.70833333333331
22021,2022-04-10,22101222,1610612746,LAC,LAC vs. OKC,W,OKC,1610612760,1,0.653,0.482,0.411,0.839,44.15277777777778,24.38888888888889,13.180555555555555,7.069444444444445,4.097222222222222,114.01388888888889,0.306,0.441,0.339,0.725,45.59722222222222,22.055555555555557,16.13888888888889,7.0,4.388888888888889,105.0
22021,2022-04-10,22101228,1610612755,PHI,PHI vs. DET,W,DET,1610612765,1,0.681,0.476,0.374,0.767,45.05555555555556,23.694444444444443,14.444444444444445,9.09722222222222,6.208333333333333,113.63888888888889,0.278,0.452,0.351,0.759,42.708333333333336,24.208333333333332,14.930555555555555,7.375,5.152777777777778,106.61111111111111
22021,2022-04-10,22101229,1610612756,PHX,PHX vs. SAC,L,SAC,1610612758,0,0.708,0.49,0.378,0.834,42.94444444444444,26.930555555555557,12.52777777777778,7.180555555555555,4.333333333333333,115.27777777777776,0.431,0.481,0.364,0.745,41.40277777777778,25.5,13.375,7.541666666666667,4.972222222222222,113.73611111111111
