SEASON_ID,GAME_DATE,GAME_ID,HOME_TEAM_ID,HOME_TEAM,MATCHUP,WL,VISITOR_TEAM,VISITOR_TEAM_ID,HOME_WIN,PPG_diff,APG_diff,RPG_diff,TO_PG_diff,SPG_diff,BPG_diff,FG_pct_diff,FG3_pct_diff,FT_pct_diff,W_pct_diff
22021,2022-04-10,22101224,1610612750,MIN,MIN vs. CHI,L,CHI,1610612741,0,1.4444444444444429,-1.125,-1.44444444444445,-0.8611111111111107,2.083333333333334,1.3055555555555554,-0.02799999999999997,-0.02100000000000002,-0.030000000000000027,-0.11199999999999999
22021,2022-04-10,22101226,1610612752,NYK,NYK vs. TOR,W,TOR,1610612761,1,-4.2361111111111285,-2.694444444444443,3.55555555555555,-0.277777777777775,-1.541666666666667,-0.31944444444444464,0.008000000000000007,0.02400000000000002,-0.030999999999999917,0.19399999999999995
22021,2022-04-10,22101230,1610612757,POR,POR vs. UTA,L,UTA,1610612762,0,-0.30555555555557135,-2.3888888888888893,-3.7083333333333357,-3.1111111111111143,0.30555555555555625,-0.11111111111111072,-0.015000000000000013,-0.0040000000000000036,0.02399999999999991,-0.139
22021,2022-04-10,22101223,1610612763,MEM,MEM vs. BOS,L,BOS,1610612738,0,0.6666666666666856,3.4583333333333357,2.2222222222222214,-0.7638888888888893,1.3749999999999973,-0.2638888888888893,0.0010000000000000009,-0.018000000000000016,-0.0040000000000000036,0.028000000000000025
22021,2022-04-10,22101220,1610612743,DEN,DEN vs. LAL,L,LAL,1610612747,0,5.5138888888888715,2.194444444444443,0.2083333333333286,-1.708333333333334,0.27777777777777857,-0.875,0.013000000000000012,0.02300000000000002,0.06400000000000006,0.07000000000000006
22021,2022-04-10,22101221,1610612745,HOU,HOU vs. ATL,L,ATL,1610612737,0,-4.902777777777757,-0.5277777777777786,-3.0277777777777786,1.486111111111109,0.5972222222222223,0.2638888888888893,-0.02400000000000002,-0.033999999999999975,-0.07200000000000006,-0.33299999999999996
22021,2022-04-10,22101227,1610612753,ORL,ORL vs. MIA,W,MIA,1610612748,1,-4.069444444444443,-4.5,3.944444444444443,-1.2361111111111107,-1.0138888888888884,0.44444444444444464,-0.039000000000000035,-0.014999999999999958,-0.015000000000000013,-0.26400000000000007
22021,2022-04-10,22101218,1610612739,CLE,CLE vs. MIL,W,MIL,1610612749,1,-16.291666666666686,-1.6388888888888893,-5.375,1.652777777777775,-0.3611111111111107,-0.125,-0.03699999999999998,-0.05299999999999999,-0.017000000000000015,-0.333
22021,2022-04-10,22101216,1610612751,BKN,BKN vs. IND,W,IND,1610612754,1,3.2638888888888857,-0.6111111111111107,1.7638888888888928,0.0,-1.7638888888888884,-1.125,0.020000000000000018,0.028000000000000025,0.01200000000000001,0.19500000000000006
22021,2022-04-10,22101219,1610612742,DAL,DAL vs. SAS,W,SAS,1610612759,1,1.3611111111111285,-1.5555555555555571,-0.5277777777777786,0.6666666666666643,-0.7638888888888893,-0.7638888888888884,0.007999999999999952,0.01200000000000001,-0.014000000000000012,0.12499999999999994
